40,450,420,150,10,1296,100,10,570,10,60,10,140,20,90,180,30,9900,116,70,30,40,580,10,50,70,830,10,50,10,10,10,120,20,10,15,280,100,40,NA,10,10,20,660,10,30,140,230,30,30,30,130,20,50,270,10,10,30,30,30,20,10,10,60,30,30,20,8,10,10,30,20,10,20,10,180,60,25,80,8,318,430,25,72,160,10,1230,60,30,20,120,130,120,80,750,20,120,20,160,10,90,60,10,30,1200,10,510,50,330,10,940,40,70,50,140,10,50,10,80,130,10,1060,40,20,30,30,100,50,60,10,10,90,40,187,1296,30,30,30,80,30,300,10,20,40,10,20,10,10,50,550,100,320,10,10,200,90,10,40,20,10,30,50,10,10,500,10,70,20,30,10,10,10,20,80,60,10,20,20,10,924,20,32,50,NA,10,20,40,224,20,20,NA,10,10,2055,20,NA,224,1520,40,20,10,40,20,80,NA,10,200,40,80,20,80,20,20,20,440,310,10,380,40,40,10,16,10,40,80,580,20,30,60,60,100,1220,384,10,220,10,80,60,240,40,30,190,560,3100,12,10,480,20,33,90,10,10,430,100,520,60,250,220,10,20,37,10,30,870,10,20,60,60,570,10,60,200,2100,10,400,450,10,160,1640,12,433,60,20,418,130,190,40,120,20,20,20,100,20,10,20,230,2060,80,20,230,24,20,30,20,30,50,70,10,440,30,110,1710,2790,80,80,130,2616,1480,20,20,50,40
130,880,10,120,10,1130,1.03E+05,20,NA,10,0,NA,340,60,2520,10,0,49680,280,8480,110,2640,1130,20,30,0,20,0,20,220,50,0,80,0,870,0,30,820,120,2360,60,0,360,112,200,70,600,980,0,0,180,1180,130,860,NA,210,30,460,100,180,1452,650,60,1268,70,130,280,NA,0,0,240,20,20,NA,290,100,3510,150,2780,16,0,140,40,0,100,0,5082,160,90,50,30,40,490,10,950,25,288,10,60,640,40,3030,20,240,1000,0,180,190,110,30,70,140,20,50,160,0,NA,3570,360,190,950,500,570,40,590,70,20,0,360,80,40,20,250,90,4160,120,350,NA,180,30,7992,10,50,180,0,660,20,110,NA,180,4360,50,30,50,40,90,0,660,10,80,20,50,0,80,150,10,80,NA,160,30,70,100,1070,50,10,20,40,80,40,3142,10,0,20,560,0,333,80,466,800,240,7750,0,0,720,10,630,166,20,20,120,10,10,0,NA,NA,90,260,80,60,352,240,280,260,840,640,0,40,120,960,120,20,25,140,160,330,790,0,10,160,3633,NA,40,740,0,1070,10,NA,NA,NA,NA,NA,290,1100,12800,60,10,3840,30,220,60,10,117,140,30,540,840,150,1090,0,10,350,180,990,60,44,10,10,0,9250,700,20,800,80,380,0,8,0,7620,320,18,300,15,60,50,340,11500,80,20,NA,10,1050,50,70,30,120,260,570,NA,1050,960,180,0,80,30,60,520,NA,100,6240,30,50,10800,9432,1600,410,130,930,2060,130,60,11440,10
NA,18540,6864,6440,110,34800,6732,200,63360,270,1120,10,6720,640,11340,3450,400,1.81E+05,8448,41320,820,2740,29280,40,1872,820,25020,1080,290,20,30,50,NA,100,1260,50,12360,1.64E+05,390,11050,0,30,210,10520,120,460,2160,6420,370,NA,1240,15408,2712,5136,NA,440,4936,250,680,700,1890,470,130,9120,210,2140,1640,550,70,0,2790,280,2425,NA,840,792,40,1380,22550,30,2750,NA,480,4060,10320,470,11440,410,600,90,10350,NA,2240,3630,6230,550,8150,2440,870,760,6320,16104,720,4350,NA,0,8747,NA,5520,580,36720,3390,6120,5910,5136,180,2140,2380,12060,3330,760,42480,1430,0,5560,2928,14040,8254,1260,0,170,20840,NA,14300,8160,550,NA,980,1872,2300,590,2952,1010,NA,220,290,980,30,940,14574,3600,4120,NA,2220,6150,4800,80,19950,530,1220,710,10,350,360,4000,750,6180,90,4050,160,100,830,1410,2928,1010,580,40,1040,80,1150,760,18,310,8450,180,525,440,3350,150,450,18750,0,30,17523,120,6950,1240,24950,710,760,30,620,160,120,4680,1320,1060,70,NA,620,11840,1110,90,160,21040,18700,110,2480,2680,750,125,1538,730,2650,3760,12000,190,650,1420,8250,15800,30000,2730,0,1280,250,9250,NA,17000,1460,60,3550,14650,28600,240,30,8800,280,5450,2550,190,30,25300,3000,13616,5760,9320,4610,890,470,992,140,300,19760,820,270,720,5040,4150,10100,730,300,17810,2660,6100,3525,180,1640,28800,20,7030,5100,450,40,5840,8350,3730,850,680,0,980,5980,120,0,260,12480,80640,5480,1200,3270,4992,40,110,870,300,1424,700,100,2520,660,NA,15840,56520,2100,5300,1080,77760,6120,700,NA,0,1110
NA,4400,19440,580,1248,24480,1.79E+05,320,45000,230,1160,160,6780,7536,30240,670,70,36000,7440,2.72E+05,8800,97920,51120,900,18000,100,NA,510,160,10150,4400,80,1440,0,1.55E+05,NA,60,7344,4760,21300,940,20,640,4430,2528,NA,23400,300,460,NA,6000,18000,4040,20520,11700,14400,200,26880,310,7140,11880,19440,740,16418,3744,8880,1350,40,20,0,10927,20,420,5680,5367,75,990,5133,30712,1408,12272,71280,6175,200,2230,70,350,850,4350,870,75600,1400,11700,3600,24560,28400,1330,176,1880,22600,820,23400,584,480,4000,30,3096,33600,630,2070,20,8179,1800,8101,4440,20,69480,89017,12720,6180,14597,2544,13680,780,31680,9760,2020,140,4800,2592,40,110,1936,3850,2448,4000,7920,1440,1070,200,75600,250,1200,820,510,1020,180,6180,2280,1298,61920,230,7992,3816,410,1520,400,12350,330,1070,50,0,40,14688,8160,290,1908,2040,NA,6780,3390,2664,18900,320,180,620,100,1160,1730,7025,680,0,1630,23400,240,13350,448,2750,750,2600,32100,0,10,2450,20,7650,600,40,240,3160,130,224,0,NA,NA,1550,6350,4220,8775,2466,880,7700,14200,9160,7752,320,120,6850,1960,770,350,38,1420,5650,23200,11760,240,1890,1250,52200,NA,NA,7933,980,2740,3000,39200,2650,52000,60,750,3930,2420,44500,620,490,5355,NA,896,3328,160,220,1080,3112,10750,22960,8096,46272,35760,1090,14052,620,6030,3740,2500,400,1240,120,4650,22900,188,600,700,408,10288,5808,50,31952,11000,5150,1584,10,550,25,680,20500,180,220,NA,0,3870,21750,0,940,750,12690,9200,7140,59400,4320,30960,40,720,40,1845,3840,3320,140,3636,2220,1060,9880,15840,14544,5280,NA,8240,1545,6600,15480,2.12E+05,3930
45000,25200,1.79E+05,42840,3024,1.12E+05,26880,8800,37800,NA,NA,645,79200,10008,800,8340,150,1.96E+05,74880,48600,24840,91440,3.61E+05,NA,21600,4600,65160,1296,6680,7520,36720,2340,NA,4360,6000,4392,23760,2.51E+05,6300,19200,80,6450,1160,37966,990,NA,27360,3360,11160,1712,12000,34560,48960,39600,59040,33360,18360,32880,4760,15840,14544,10170,NA,54360,NA,19440,18311,1080,490,0,97900,1150,35022,18880,18995,940,88,2167,49700,680,43450,56160,8250,56800,28650,7790,19900,9521,10711,1000,61200,15408,21060,55440,33400,14400,18950,13250,42400,37750,12540,39900,7850,7250,87760,70,34990,1.43E+05,44640,23100,1.88E+05,8950,22250,23350,57440,5712,18000,750,89280,25200,30123,2.77E+05,3624,670,73440,85680,1.52E+05,63839,8064,44640,260,5950,180,20750,3720,23940,6080,8220,11430,11610,3672,63360,37080,12420,2400,300,26400,690,54000,15317,14832,18144,14760,28040,44985,26640,4630,45418,7992,26400,14976,0,8136,10890,16272,9546,32440,390,13200,9120,890,6720,4080,21600,27120,18000,420,13150,3350,310,8750,2000,4760,8100,4230,13497,1840,15800,3700,4150,41500,180,300,13400,50,23600,4450,1.13E+05,11700,10640,210,8100,3650,3960,19100,8320,8160,1472,14425,3850,68240,22200,15900,19440,75800,48300,4650,3850,2520,2700,3550,3500,7790,4050,42350,66480,12800,NA,2130,22500,NA,65500,3070,140,4736,5250,14150,34400,46500,7860,4350,15600,31104,54400,300,430,20051,2320,27250,5440,7140,229,59414,16465,12750,63920,14850,36100,38400,21423,5962,400,1647,1.04E+05,11840,1380,18824,79600,750,7300,12925,1152,10861,13996,31900,43950,1530,4930,31280,1920,21500,40800,8900,830,6160,11900,14950,80,NA,0,13800,28000,130,150,510,53640,1.13E+05,59880,8720,NA,47520,450,1875,4240,4360,1750,8880,3096,22500,8080,8560,33120,42480,25200,34750,9630,1.34E+05,31440,12120,45720,1.56E+05,25920
87120,2640,45360,36360,20000,9090,3.10E+05,7380,10980,7080,1140,19620,21600,81000,21240,720,220,82836,31200,3.89E+05,37800,2.52E+05,10440,17856,33000,380,3090,8800,4720,24200,77760,1200,20160,NA,59040,58320,390,21356,15840,23100,3350,1320,2450,15500,12713,90000,58040,2960,NA,530,61200,27840,71280,1.14E+05,1.19E+05,72720,4560,1.03E+05,NA,51120,30460,51120,NA,61920,NA,2544,8109,4496,20,40,1.81E+05,170,9078,3120,61779,0,0,16,38900,4380,7220,1.42E+05,35850,1966,2920,4560,3950,7800,17600,5070,7080,460,38880,14400,33800,42500,710,1710,2640,28700,1780,2830,510,2520,14000,180,2960,14608,1090,42845,1730,15460,4440,12244,25200,1338,28800,0,94320,4500,1.24E+05,8000,47880,4890,1.04E+05,84240,6095,220,30000,44640,0,48,30,160,10980,17856,12510,13200,11610,4040,3312,17568,46440,9450,4800,30,640,10260,38520,NA,1.94E+05,1180,1.26E+05,4500,980,6096,960,7850,920,2664,690,0,1140,48240,28800,2736,16560,12150,4880,36920,45720,9280,35760,1010,4944,17880,8400,9680,28825,220,5450,3275,6180,25250,850,14400,1040,6150,14800,11900,51500,100,200,2730,0,10200,860,550,720,11500,570,280,40,720,9950,6830,11700,10450,12771,3260,14560,26500,51400,24300,14750,640,20200,210,1360,1330,3200,163,29419,15800,7950,NA,110,53280,8514,1.24E+05,12700,10160,9550,29840,8160,74121,53900,75200,61200,440,6500,7140,5811,3500,6372,7947,31360,960,320,4700,2140,10830,6084,NA,120,89920,7100,1.44E+05,1.04E+05,12550,28420,2020,7950,23050,21423,2100,41800,540,880,12800,1800,800,1600,1092,3575,1840,380,45200,4880,17200,20200,2000,7600,220,NA,22950,420,620,34700,10,40200,31900,300,450,8400,61920,56880,22140,2.31E+05,2630,83160,1016,35280,800,18900,6820,6660,2020,24960,20700,13560,6000,13800,57960,26400,12930,29280,8160,25020,36360,95760,44640
1.05E+05,3640,4.40E+05,NA,15000,2.01E+05,2.02E+05,77760,41760,1.05E+05,2.38E+05,25680,1.28E+05,55080,94320,31920,1110,3.95E+05,1.05E+05,87120,23040,1.30E+05,4.54E+05,46440,11700,39240,56880,NA,27600,120,89280,NA,51120,13080,25690,24240,15840,1.32E+05,6720,35100,20,19753,7750,47200,5384,59760,22500,NA,42480,27360,52920,98280,1.31E+05,21240,58320,1.07E+05,1.14E+05,53280,18360,66690,11200,14688,24720,28800,1660,9450,1.05E+05,9300,4806,350,66342,11635,35018,19280,10716,NA,NA,0,18100,320,16200,15280,45300,59600,78200,14210,25560,21423,23065,6400,38520,18908,43920,2.00E+05,3.78E+05,70700,11350,8350,85400,25300,28400,60,7640,21300,62800,3600,63200,2526,60820,79045,2.57E+05,16000,8810,17050,NA,18100,14832,0,90,30720,42815,3.97E+05,16560,20227,55800,2.11E+05,1.96E+05,10,28560,99360,0,0,0,60,5760,92160,250,81360,7344,46440,14880,1.25E+05,1.07E+05,11790,7200,10,12120,3030,1.07E+05,55270,57960,23200,21240,51120,30336,40680,11139,71544,6720,43560,21420,0,91440,1.06E+05,51120,15984,120,4520,2540,12720,240,16416,580,19008,41760,1.34E+05,2220,16250,13800,80,6320,25200,15800,11700,12100,17351,5120,4850,1100,9100,30300,1477,2160,5750,0,1050,11750,94800,23500,10250,780,6350,9650,15350,27200,4250,2250,940,29466,9975,70900,23400,34600,17500,78308,44000,39200,1550,NA,24480,13400,13420,10900,13500,46500,34560,24900,1.69E+05,22970,11250,37000,69250,7850,NA,15650,34210,14700,84400,27200,31990,21500,12930,76978,50,3580,3840,1.15E+05,4090,18610,25300,42848,30160,1190,27913,20,27640,12133,1.05E+05,36000,91114,9560,3060,5040,2.65E+05,15980,4710,80300,88500,120,60,13810,1920,1.12E+05,2020,140,260,10711,1440,1240,3930,31100,78000,24400,5166,3560,21200,28900,1072,NA,60,44200,16391,290,300,4700,72000,1.05E+05,70920,1320,8000,3.86E+05,850,7560,1200,8424,1780,19800,2808,52560,20280,13560,48400,47520,79920,47520,18600,6700,28320,59320,39400,1.29E+05,1.07E+05
1400,330,72710,93600,82800,12120,2.69E+05,51120,37440,47520,20164,4.32E+05,56520,2.46E+05,24960,1616,90,98640,13800,2.40E+05,43920,1.71E+05,19800,2.66E+05,50040,2040,13800,69660,8400,1430,1.15E+05,13860,80640,16000,74520,1.10E+05,2880,1100,15264,16100,1280,2440,3950,15920,10900,58080,54720,38640,23400,39240,1.16E+05,30240,1.04E+05,36000,63360,2.88E+05,NA,87120,4400,84960,21060,60480,55440,37680,140,3600,42181,100,360,3143,4.16E+05,610,15876,11040,2472,NA,NA,NA,0,38,5033,300,2380,63712,43200,3295,2745,21839,38400,21851,8960,3030,36000,18000,53900,96000,260,2050,12700,19950,3150,0,3550,11150,8040,6300,7000,80,1020,12241,32400,23993,3480,1532,12840,8101,43650,0,80,5904,4.76E+05,52470,0,21645,70920,180,51480,0,75600,47440,0,0,0,0,0,60,70,64800,1998,5136,82800,1000,58680,60480,8320,210,790,14160,53640,24411,790,6780,160,18288,4570,21600,1860,10711,150,3360,1926,0,20530,1575,82800,8640,110,36360,190,73440,3330,6540,150,3450,73440,1.68E+05,65880,12750,49500,495,1920,5760,6940,15700,550,23900,1440,561,6600,10800,55400,500,2310,540,0,126,4736,540,4850,21500,1740,910,150,3720,10850,7650,21425,10950,4820,2600,18560,20424,61200,74800,10200,1720,17400,40,12840,6120,17000,760,13465,9650,14550,7992,240,1.26E+05,10150,54200,14800,6480,31750,1.10E+05,10620,1.13E+05,40100,22700,57200,4720,19700,3660,4000,125,19340,44127,27820,4740,384,12350,6120,711,4280,41263,0,31760,0,2460,48960,24800,238,12600,20800,35800,6920,8569,58400,2900,20,0,6470,4520,1580,1700,540,220,1530,40,1160,9050,83000,7300,7100,16,2760,26600,1720,920,13650,120,39400,63200,1100,650,6600,79200,13440,45360,15250,3050,38880,60,23400,14280,41400,2210,5200,4920,60840,33120,32160,5760,77760,63360,9440,14040,1120,15000,12000,24000,56400,39960
50,40,10350,3.43E+05,50040,1.03E+05,79200,1.61E+05,71280,2.08E+05,5.03E+05,3.46E+05,1.84E+05,66340,87720,47520,7360,17328,1170,1.99E+05,51840,1.18E+05,3.34E+05,1.06E+05,18900,585,56880,55800,60120,20,1.39E+05,2180,70000,10840,33600,60840,9180,1.09E+05,10800,39500,20,41300,8850,30756,11770,61920,16416,9000,72720,3.00E+05,1.14E+05,87840,65520,12960,9040,1.22E+05,1.70E+05,380,45360,82800,2260,3600,79200,51120,30,12240,65500,0,22657,110,81314,24643,34461,12880,470,NA,NA,NA,0,0,150,40,262,23488,86200,34900,5907,8710,22208,20210,27360,28320,1.12E+05,18900,16600,1.92E+05,16,28950,54500,23688,7233,0,44200,14500,80,48200,73479,10,128,50,16848,22000,26000,60,95040,18350,NA,0,0,1.09E+05,1.15E+05,2.25E+05,0,85763,41400,1330,5160,0,9180,97920,0,0,0,0,0,10,30,1.32E+05,12240,1.06E+05,1.16E+05,110,240,42120,9180,370,0,1605,27120,64496,2040,48600,510,70560,1.10E+05,63720,36561,41000,200,0,13440,0,2.22E+05,30,1.10E+05,74160,0,18180,20,96480,440,19260,260,15264,86040,670,1240,3680,13456,245,5880,23150,14100,13600,1089,31400,7640,660,2450,6800,2240,10092,4590,2370,0,530,5733,56400,13500,2630,2410,4250,8500,32100,31200,13500,3430,13320,31600,50568,1.58E+05,11520,30600,9450,29700,41500,52500,20,11350,9100,12500,17580,9050,760,14900,11600,6150,1.12E+05,14720,18100,13650,31900,5240,21120,14500,26400,870,29400,36200,56286,48600,25280,31898,0,10900,21853,70,18250,1450,28440,24636,207,17640,27508,NA,12900,18,120,5280,70,0,10175,12241,69800,50600,5040,1.25E+05,3100,0,0,17138,15900,13400,31000,0,100,21423,0,160,21025,14550,28800,36000,80,6860,1440,16300,340,1840,1200,55000,9700,3800,9800,600,56520,40320,54320,1220,7920,1.33E+05,280,2260,13140,12360,320,NA,5880,46800,28320,16800,46440,74160,97560,8160,18360,530,31140,12360,78840,1.30E+05,1.31E+05
NA,0,3360,1.99E+05,1.24E+05,30000,NA,95760,51450,52560,92880,12870,37080,1.36E+05,38160,1010,140,1696,0,1.34E+05,1.29E+05,13814,6040,1.52E+05,1.25E+05,980,24240,56520,11240,540,1.81E+05,12120,98640,1926,41400,1.61E+05,2760,480,7600,18400,40,8750,5850,33900,23918,55440,150,65380,54000,20340,1.53E+05,3000,47160,27360,30000,3144,82800,360,9040,96480,15408,24480,24720,44640,480,6192,1.39E+05,0,1220,23670,29667,2181,12026,280,4082,NA,NA,NA,0,NA,0,0,100,30150,15120,2688,2766,32575,11600,49700,9840,380,21780,26880,21600,32000,0,120,8100,32280,12640,0,6030,23400,40,24600,580,0,30,20,36000,10711,14887,30,27840,3300,25440,0,0,25680,10864,60960,0,2129,57060,100,200,0,180,88560,NA,0,0,0,0,0,20,1.61E+05,12960,30480,11160,0,70,88560,2520,980,0,530,9900,19194,310,2280,420,21060,8750,48240,3430,8569,120,0,3210,0,18144,140,1190,2424,0,75600,80,2180,26640,16272,240,9720,1.10E+05,6120,70,520,46200,2420,6028,19000,24600,33800,50,41500,10520,20,9500,2850,19450,3420,5510,1584,0,80,1330,160,1860,14650,6591,810,160,12950,15800,12650,6450,29500,6266,9133,11440,6850,15500,1.22E+05,10504,480,23600,120,20500,3300,12200,2063,16032,320,7750,7200,80,1.53E+05,30300,14450,4850,6080,20,63400,100,1298,2720,7550,73200,11410,13800,2213,2160,0,21800,52112,10,12192,280,16860,5883,160,35236,28318,NA,NA,0,0,90,10,8,10900,59345,2728,6490,22992,72300,380,0,0,14180,27893,2436,7775,1160,1040,1240,0,1880,21350,26600,350,650,20,1280,880,2550,2400,820,2750,32200,20400,6700,8500,11600,46800,6840,21890,NA,2700,15120,20,9200,1.17E+05,25200,256,740,NA,72360,58080,18720,NA,NA,60840,4200,1800,0,19800,5232,14832,1.12E+05,30480
